match_id,platform_id,game_creation,game_duration_s,game_duration_min,team_id,match_win,participant_id,is_target_player,summoner_name,riot_id_game_name,riot_id_tagline,champion,team_position,kills,deaths,assists,gold_earned,vision_score,total_damage_to_champions,magic_damage_to_champions,physical_damage_to_champions,total_minions_killed,neutral_minions_killed,cs_total,time_ccing_others,total_time_spent_dead,gold_per_min,vision_score_per_min,kda
LA2_1596508317,0,1779241933382,1714.0,28.57,100,1,1,0,KapoMaximo,KapoMaximo,LAS,Malphite,TOP,6,2,8,12069,25,24095,19346,4532,196,1,197,38,26,422.4267624973988,0.8769358815848645,7.0
LA2_1596508317,0,1779241933382,1714.0,28.57,100,1,2,0,jesuscoolxd,jesuscoolxd,9020,Nocturne,JUNGLE,6,3,12,13069,23,16694,1648,13654,19,198,217,181,57,457.40233302270195,0.8351470512549397,6.0
LA2_1596508317,0,1779241933382,1714.0,28.57,100,1,3,1,Vanitas,Vanitas,DANTE,Naafiri,MIDDLE,16,4,10,14791,18,37709,1205,33812,211,0,211,3,82,517.6670985757194,0.6302133360309565,6.5
LA2_1596508317,0,1779241933382,1714.0,28.57,100,1,4,0,ApoluKB,ApoluKB,LAS,Jinx,BOTTOM,6,6,9,12771,29,15900,576,15323,178,0,178,11,175,446.9928202583335,1.02551574893988,2.5
LA2_1596508317,0,1779241933382,1714.0,28.57,100,1,5,0,squirtlesourer1,squirtlesourer1,LAS,Milio,UTILITY,1,1,29,9288,88,7388,5696,1691,35,0,35,38,34,325.06903347307536,3.103165402137074,30.0
LA2_1596496298,0,1779239751678,1613.0,26.88,100,1,3,0,TioPyke,TioPyke,DRR4,Pyke,,19,3,12,18500,0,31758,0,22888,0,0,0,83,160,687.8745411863706,0.9711911136710675,10.333333333333334
LA2_1596496298,0,1779239751678,1613.0,26.88,100,1,4,0,Jij,Jij,9845,Viktor,,4,5,24,23061,0,35639,29282,1171,0,0,0,86,142,857.4635023945348,0.9711911136710675,5.6
LA2_1596496298,0,1779239751678,1613.0,26.88,100,1,5,0,SFF Panchelazo,SFF Panchelazo,TFT,Seraphine,,12,5,22,28211,0,85724,79498,1094,8,0,8,72,1410,1048.9529016977676,0.9711911136710675,6.8
LA2_1596496298,0,1779239751678,1613.0,26.88,100,1,11,0,Ðrîft,Ðrîft,LAS,Maokai,,11,7,14,13250,0,43643,36044,4815,0,0,0,162,1241,492.66690111996814,0.9711911136710675,3.5714285714285716
LA2_1596496298,0,1779239751678,1613.0,26.88,100,1,12,0,FUERAVENECOSQLS,FUERAVENECOSQLS,9090,Volibear,,9,6,14,15250,0,55872,24960,29373,0,0,0,57,738,567.0317163833596,0.9711911136710675,3.8333333333333335
LA2_1596496298,0,1779239751678,1613.0,26.88,100,1,13,0,JuniorPlayboy69,JuniorPlayboy69,6969,TahmKench,,5,7,17,13250,0,39814,18471,2918,0,0,0,51,1161,492.66690111996814,0.9711911136710675,3.142857142857143
LA2_1596496298,0,1779239751678,1613.0,26.88,100,1,15,0,Maxton48,Maxton48,EVO,Vi,,3,6,20,17473,0,41269,3978,37291,0,0,0,53,3639,649.6882085486192,0.9711911136710675,3.8333333333333335
LA2_1596496298,0,1779239751678,1613.0,26.88,100,1,16,0,squirtlesourer1,squirtlesourer1,LAS,Akshan,,22,6,8,20975,0,85277,5051,66855,1,0,1,4,3607,779.9010000748175,0.9711911136710675,5.0
LA2_1596496298,0,1779239751678,1613.0,26.88,100,1,17,1,Vanitas,Vanitas,DANTE,Mordekaiser,,8,5,20,18250,0,60601,56854,2854,0,0,0,80,3698,678.5789392784467,0.9711911136710675,5.6
LA2_1596483446,0,1779237447551,1285.0,21.42,200,0,4,0,Z4CR3D,Z4CR3D,LAS,Pyke,,4,3,7,6782,0,17873,0,9555,0,0,0,29,224,316.66173532912427,0.9711911136710675,3.6666666666666665
LA2_1596483446,0,1779237447551,1285.0,21.42,200,0,5,0,Maestria69,Maestria69,97021,Heimerdinger,,3,6,4,4032,0,13258,11935,1117,0,0,0,27,152,188.26011749440121,0.9711911136710675,1.1666666666666667
